Time;Free disk space on /
2019-03-01T00:00:00+01:00;224989820245
2019-03-01T01:00:00+01:00;258606428160
2019-03-01T02:00:00+01:00;258563445521
2019-03-01T03:00:00+01:00;258505978743
2019-03-01T04:00:00+01:00;258501470208
2019-03-01T05:00:00+01:00;258501470208
2019-03-01T06:00:00+01:00;258501470208
2019-03-01T07:00:00+01:00;258501470208
2019-03-01T08:00:00+01:00;258428036915
2019-03-01T09:00:00+01:00;258396565504
2019-03-01T10:00:00+01:00;258301869260
2019-03-01T11:00:00+01:00;258291347456
2019-03-01T12:00:00+01:00;258291347456
2019-03-01T13:00:00+01:00;258254580633
2019-03-01T14:00:00+01:00;258186299392
2019-03-01T15:00:00+01:00;258186299392
2019-03-01T16:00:00+01:00;258186299392
2019-03-01T17:00:00+01:00;258172302267
2019-03-01T18:00:00+01:00;258081320960
2019-03-01T19:00:00+01:00;258081320960
2019-03-01T20:00:00+01:00;258081320960
2019-03-01T21:00:00+01:00;258081320960
2019-03-01T22:00:00+01:00;258081320960
2019-03-01T23:00:00+01:00;258062062523
2019-03-02T00:00:00+01:00;228044143820
2019-03-02T01:00:00+01:00;248810881024
2019-03-02T02:00:00+01:00;248810881024
2019-03-02T03:00:00+01:00;248761652155
2019-03-02T04:00:00+01:00;248744718336
2019-03-02T05:00:00+01:00;248744718336
2019-03-02T06:00:00+01:00;248713280034
2019-03-02T07:00:00+01:00;248716328960
2019-03-02T08:00:00+01:00;248716328960
2019-03-02T09:00:00+01:00;248716328960
2019-03-02T10:00:00+01:00;248716328960
2019-03-02T11:00:00+01:00;248683086438
2019-03-02T12:00:00+01:00;248611352576
2019-03-02T13:00:00+01:00;248611352576
2019-03-02T14:00:00+01:00;248611352576
2019-03-02T15:00:00+01:00;248611352576
2019-03-02T16:00:00+01:00;248609603788
2019-03-02T17:00:00+01:00;248506425344
2019-03-02T18:00:00+01:00;248506425344
2019-03-02T19:00:00+01:00;248506425344
2019-03-02T20:00:00+01:00;248506425344
2019-03-02T21:00:00+01:00;248506425344
2019-03-02T22:00:00+01:00;248506425344
2019-03-02T23:00:00+01:00;248471434581
2019-03-03T00:00:00+01:00;227046377676
2019-03-03T01:00:00+01:00;248805230592
2019-03-03T02:00:00+01:00;248805230592
2019-03-03T03:00:00+01:00;248765515707
2019-03-03T04:00:00+01:00;248752570368
2019-03-03T05:00:00+01:00;248752570368
2019-03-03T06:00:00+01:00;248752570368
2019-03-03T07:00:00+01:00;248753540505
2019-03-03T08:00:00+01:00;248878223360
2019-03-03T09:00:00+01:00;248878223360
2019-03-03T10:00:00+01:00;248878223360
2019-03-03T11:00:00+01:00;248846749491
2019-03-03T12:00:00+01:00;248773310464
2019-03-03T13:00:00+01:00;248773310464
2019-03-03T14:00:00+01:00;248773310464
2019-03-03T15:00:00+01:00;248773310464
2019-03-03T16:00:00+01:00;248773310464
2019-03-03T17:00:00+01:00;248757566156
2019-03-03T18:00:00+01:00;248668348416
2019-03-03T19:00:00+01:00;248668348416
2019-03-03T20:00:00+01:00;248668348416
2019-03-03T21:00:00+01:00;248668348416
2019-03-03T22:00:00+01:00;248668348416
2019-03-03T23:00:00+01:00;248668348416
2019-03-04T00:00:00+01:00;226631606715
2019-03-04T01:00:00+01:00;249052770304
2019-03-04T02:00:00+01:00;249052770304
2019-03-04T03:00:00+01:00;249004643020
2019-03-04T04:00:00+01:00;248948473548
2019-03-04T05:00:00+01:00;248622399488
2019-03-04T06:00:00+01:00;248622399488
2019-03-04T07:00:00+01:00;248622399488
2019-03-04T08:00:00+01:00;247011121527
2019-03-04T09:00:00+01:00;246659140949
2019-03-04T10:00:00+01:00;246555426816
2019-03-04T11:00:00+01:00;246555426816
2019-03-04T12:00:00+01:00;246482003558
2019-03-04T13:00:00+01:00;246450536448
2019-03-04T14:00:00+01:00;246450536448
2019-03-04T15:00:00+01:00;246353816234
2019-03-04T16:00:00+01:00;246345023488
2019-03-04T17:00:00+01:00;246339765555
2019-03-04T18:00:00+01:00;246239864832
2019-03-04T19:00:00+01:00;246239864832
2019-03-04T20:00:00+01:00;246239864832
2019-03-04T21:00:00+01:00;246239864832
2019-03-04T22:00:00+01:00;246199574425
2019-03-04T23:00:00+01:00;246134759424
2019-03-05T00:00:00+01:00;222336631910
2019-03-05T01:00:00+01:00;239636372275
2019-03-05T02:00:00+01:00;239574388736
2019-03-05T03:00:00+01:00;239610273509
2019-03-05T04:00:00+01:00;239629685760
2019-03-05T05:00:00+01:00;235747855633
2019-03-05T06:00:00+01:00;233165178880
2019-03-05T07:00:00+01:00;233165178880
2019-03-05T08:00:00+01:00;234626538939
2019-03-05T09:00:00+01:00;234928682393
2019-03-05T10:00:00+01:00;234828122112
2019-03-05T11:00:00+01:00;234828122112
2019-03-05T12:00:00+01:00;234810370048
2019-03-05T13:00:00+01:00;234721609728
2019-03-05T14:00:00+01:00;234721609728
2019-03-05T15:00:00+01:00;234642892800
2019-03-05T16:00:00+01:00;234616653824
2019-03-05T17:00:00+01:00;234616653824
2019-03-05T18:00:00+01:00;234569395097
2019-03-05T19:00:00+01:00;234511634432
2019-03-05T20:00:00+01:00;234511634432
2019-03-05T21:00:00+01:00;234511634432
2019-03-05T22:00:00+01:00;234511634432
2019-03-05T23:00:00+01:00;234413551342
2019-03-06T00:00:00+01:00;213075039436
2019-03-06T01:00:00+01:00;234918033066
2019-03-06T02:00:00+01:00;234988275438
2019-03-06T03:00:00+01:00;234937420970
2019-03-06T04:00:00+01:00;234821541717
2019-03-06T05:00:00+01:00;234690160537
2019-03-06T06:00:00+01:00;234556493414
2019-03-06T07:00:00+01:00;234449869209
2019-03-06T08:00:00+01:00;234372233216
2019-03-06T09:00:00+01:00;234265626624
2019-03-06T10:00:00+01:00;234179617314
2019-03-06T11:00:00+01:00;233935741405
2019-03-06T12:00:00+01:00;233899513856
2019-03-06T13:00:00+01:00;233899513856
2019-03-06T14:00:00+01:00;233899513856
2019-03-06T15:00:00+01:00;233899513856
2019-03-06T16:00:00+01:00;233899513856
2019-03-06T17:00:00+01:00;233899513856
2019-03-06T18:00:00+01:00;233817262421
2019-03-06T19:00:00+01:00;233792229376
2019-03-06T20:00:00+01:00;233792229376
2019-03-06T21:00:00+01:00;233707976294
2019-03-06T22:00:00+01:00;233686913024
2019-03-06T23:00:00+01:00;233686913024
2019-03-07T00:00:00+01:00;209315549320
2019-03-07T01:00:00+01:00;233989045350
2019-03-07T02:00:00+01:00;233892759552
2019-03-07T03:00:00+01:00;233915464192
2019-03-07T04:00:00+01:00;233918966545
2019-03-07T05:00:00+01:00;233940764672
2019-03-07T06:00:00+01:00;233940764672
2019-03-07T07:00:00+01:00;233940764672
2019-03-07T08:00:00+01:00;233884744499
2019-03-07T09:00:00+01:00;233835726848
2019-03-07T10:00:00+01:00;233832228113
2019-03-07T11:00:00+01:00;233730764800
2019-03-07T12:00:00+01:00;233730764800
2019-03-07T13:00:00+01:00;233730764800
2019-03-07T14:00:00+01:00;233704499712
2019-03-07T15:00:00+01:00;233625704448
2019-03-07T16:00:00+01:00;233625704448
2019-03-07T17:00:00+01:00;233625704448
2019-03-07T18:00:00+01:00;233571323801
2019-03-07T19:00:00+01:00;233520451584
2019-03-07T20:00:00+01:00;233520451584
2019-03-07T21:00:00+01:00;233520451584
2019-03-07T22:00:00+01:00;233520451584
2019-03-07T23:00:00+01:00;233415327744
2019-03-08T00:00:00+01:00;210913821866
2019-03-08T01:00:00+01:00;233731116851
2019-03-08T02:00:00+01:00;233670924288
2019-03-08T03:00:00+01:00;233684459349
2019-03-08T04:00:00+01:00;233794555904
2019-03-08T05:00:00+01:00;233794555904
2019-03-08T06:00:00+01:00;233794555904
2019-03-08T07:00:00+01:00;233794555904
2019-03-08T08:00:00+01:00;233794555904
2019-03-08T09:00:00+01:00;233717612270
2019-03-08T10:00:00+01:00;233689632768
2019-03-08T11:00:00+01:00;233598159803
2019-03-08T12:00:00+01:00;233584087040
2019-03-08T13:00:00+01:00;233584087040
2019-03-08T14:00:00+01:00;233499947008
2019-03-08T15:00:00+01:00;233478912000
2019-03-08T16:00:00+01:00;233478912000
2019-03-08T17:00:00+01:00;233410448384
2019-03-08T18:00:00+01:00;233373583360
2019-03-08T19:00:00+01:00;233373583360
2019-03-08T20:00:00+01:00;233373583360
2019-03-08T21:00:00+01:00;233373583360
2019-03-08T22:00:00+01:00;233373583360
2019-03-08T23:00:00+01:00;233308813824
2019-03-09T00:00:00+01:00;202115592942
2019-03-09T01:00:00+01:00;224008411477
2019-03-09T02:00:00+01:00;224012693504
2019-03-09T03:00:00+01:00;223973361152
2019-03-09T04:00:00+01:00;223949768021
2019-03-09T05:00:00+01:00;223828461568
2019-03-09T06:00:00+01:00;223828461568
2019-03-09T07:00:00+01:00;223670330743
2019-03-09T08:00:00+01:00;223624173568
2019-03-09T09:00:00+01:00;223624173568
2019-03-09T10:00:00+01:00;223624173568
2019-03-09T11:00:00+01:00;223573437952
2019-03-09T12:00:00+01:00;223519203328
2019-03-09T13:00:00+01:00;223519203328
2019-03-09T14:00:00+01:00;223519203328
2019-03-09T15:00:00+01:00;223519203328
2019-03-09T16:00:00+01:00;223519203328
2019-03-09T17:00:00+01:00;223519203328
2019-03-09T18:00:00+01:00;223419563315
2019-03-09T19:00:00+01:00;223414319104
2019-03-09T20:00:00+01:00;223414319104
2019-03-09T21:00:00+01:00;223414319104
2019-03-09T22:00:00+01:00;223414319104
2019-03-09T23:00:00+01:00;223384590882
2019-03-10T00:00:00+01:00;200617073117
2019-03-10T01:00:00+01:00;223599133115
2019-03-10T02:00:00+01:00;223773337600
2019-03-10T03:00:00+01:00;223732288580
2019-03-10T04:00:00+01:00;223722743808
2019-03-10T05:00:00+01:00;223722743808
2019-03-10T06:00:00+01:00;223722743808
2019-03-10T07:00:00+01:00;223722743808
2019-03-10T08:00:00+01:00;223722743808
2019-03-10T09:00:00+01:00;223722743808
2019-03-10T10:00:00+01:00;223694735906
2019-03-10T11:00:00+01:00;223617714176
2019-03-10T12:00:00+01:00;223617714176
2019-03-10T13:00:00+01:00;223617714176
2019-03-10T14:00:00+01:00;223617714176
2019-03-10T15:00:00+01:00;223514060458
2019-03-10T16:00:00+01:00;223512303616
2019-03-10T17:00:00+01:00;223512303616
2019-03-10T18:00:00+01:00;223512303616
2019-03-10T19:00:00+01:00;223512303616
2019-03-10T20:00:00+01:00;223507057868
2019-03-10T21:00:00+01:00;223407388672
2019-03-10T22:00:00+01:00;223407388672
2019-03-10T23:00:00+01:00;223407388672
2019-03-11T00:00:00+01:00;201527325832
2019-03-11T01:00:00+01:00;223705120768
2019-03-11T02:00:00+01:00;223705120768
2019-03-11T03:00:00+01:00;222526610705
2019-03-11T04:00:00+01:00;221581357294
2019-03-11T05:00:00+01:00;219586316458
2019-03-11T06:00:00+01:00;219595501568
2019-03-11T07:00:00+01:00;219539522901
2019-03-11T08:00:00+01:00;219480040857
2019-03-11T09:00:00+01:00;219385534464
2019-03-11T10:00:00+01:00;219385534464
2019-03-11T11:00:00+01:00;219280615424
2019-03-11T12:00:00+01:00;219280615424
2019-03-11T13:00:00+01:00;219280615424
2019-03-11T14:00:00+01:00;219200103697
2019-03-11T15:00:00+01:00;219175600128
2019-03-11T16:00:00+01:00;219152880537
2019-03-11T17:00:00+01:00;219070740480
2019-03-11T18:00:00+01:00;219070740480
2019-03-11T19:00:00+01:00;219070740480
2019-03-11T20:00:00+01:00;219070740480
2019-03-11T21:00:00+01:00;218966337604
2019-03-11T22:00:00+01:00;218964568064
2019-03-11T23:00:00+01:00;218964568064
2019-03-12T00:00:00+01:00;196664103458
2019-03-12T01:00:00+01:00;219522458419
2019-03-12T02:00:00+01:00;220973711496
2019-03-12T03:00:00+01:00;221037112406
2019-03-12T04:00:00+01:00;221042245632
2019-03-12T05:00:00+01:00;221042245632
2019-03-12T06:00:00+01:00;221017754487
2019-03-12T07:00:00+01:00;220937283584
2019-03-12T08:00:00+01:00;220937283584
2019-03-12T09:00:00+01:00;220919783424
2019-03-12T10:00:00+01:00;220832282624
2019-03-12T11:00:00+01:00;220812407671
2019-03-12T12:00:00+01:00;220723873792
2019-03-12T13:00:00+01:00;220723873792
2019-03-12T14:00:00+01:00;220683519795
2019-03-12T15:00:00+01:00;220618602496
2019-03-12T16:00:00+01:00;220618602496
2019-03-12T17:00:00+01:00;220536375808
2019-03-12T18:00:00+01:00;220513632256
2019-03-12T19:00:00+01:00;220513632256
2019-03-12T20:00:00+01:00;220513632256
2019-03-12T21:00:00+01:00;220513632256
2019-03-12T22:00:00+01:00;220450537062
2019-03-12T23:00:00+01:00;220408473600
2019-03-13T00:00:00+01:00;199774943436
2019-03-13T01:00:00+01:00;230531534848
2019-03-13T02:00:00+01:00;230531534848
2019-03-13T03:00:00+01:00;230522315844
2019-03-13T04:00:00+01:00;230686316544
2019-03-13T05:00:00+01:00;230686316544
2019-03-13T06:00:00+01:00;230686316544
2019-03-13T07:00:00+01:00;230686316544
2019-03-13T08:00:00+01:00;230610665164
2019-03-13T09:00:00+01:00;230580756480
2019-03-13T10:00:00+01:00;230503692697
2019-03-13T11:00:00+01:00;230475669504
2019-03-13T12:00:00+01:00;230475669504
2019-03-13T13:00:00+01:00;230401515110
2019-03-13T14:00:00+01:00;230369734656
2019-03-13T15:00:00+01:00;230369734656
2019-03-13T16:00:00+01:00;230308496042
2019-03-13T17:00:00+01:00;230264754176
2019-03-13T18:00:00+01:00;230264754176
2019-03-13T19:00:00+01:00;230221063509
2019-03-13T20:00:00+01:00;230159896576
2019-03-13T21:00:00+01:00;230159896576
2019-03-13T22:00:00+01:00;230159896576
2019-03-13T23:00:00+01:00;230159896576
2019-03-14T00:00:00+01:00;206202710732
2019-03-14T01:00:00+01:00;230528471040
2019-03-14T02:00:00+01:00;230528471040
2019-03-14T03:00:00+01:00;230499730295
2019-03-14T04:00:00+01:00;230406233463
2019-03-14T05:00:00+01:00;230421635072
2019-03-14T06:00:00+01:00;230421635072
2019-03-14T07:00:00+01:00;230421635072
2019-03-14T08:00:00+01:00;230421635072
2019-03-14T09:00:00+01:00;230324499968
2019-03-14T10:00:00+01:00;230315669504
2019-03-14T11:00:00+01:00;230261311078
2019-03-14T12:00:00+01:00;230210459648
2019-03-14T13:00:00+01:00;230210459648
2019-03-14T14:00:00+01:00;230185842824
2019-03-14T15:00:00+01:00;230104958976
2019-03-14T16:00:00+01:00;230104958976
2019-03-14T17:00:00+01:00;230104958976
2019-03-14T18:00:00+01:00;230005122457
2019-03-14T19:00:00+01:00;229999867904
2019-03-14T20:00:00+01:00;229999867904
2019-03-14T21:00:00+01:00;229999867904
2019-03-14T22:00:00+01:00;229999867904
2019-03-14T23:00:00+01:00;229999867904
2019-03-15T00:00:00+01:00;205241909964
2019-03-15T01:00:00+01:00;230303342592
2019-03-15T02:00:00+01:00;230303342592
2019-03-15T03:00:00+01:00;230239932962
2019-03-15T04:00:00+01:00;230217379840
2019-03-15T05:00:00+01:00;230224903680
2019-03-15T06:00:00+01:00;230360651776
2019-03-15T07:00:00+01:00;230360651776
2019-03-15T08:00:00+01:00;230313430835
2019-03-15T09:00:00+01:00;230255716352
2019-03-15T10:00:00+01:00;230217017002
2019-03-15T11:00:00+01:00;230150172672
2019-03-15T12:00:00+01:00;230150172672
2019-03-15T13:00:00+01:00;230150172672
2019-03-15T14:00:00+01:00;230085394295
2019-03-15T15:00:00+01:00;230045126656
2019-03-15T16:00:00+01:00;230045126656
2019-03-15T17:00:00+01:00;230045126656
2019-03-15T18:00:00+01:00;229957700949
2019-03-15T19:00:00+01:00;229940215808
2019-03-15T20:00:00+01:00;229940215808
2019-03-15T21:00:00+01:00;229940215808
2019-03-15T22:00:00+01:00;229940215808
2019-03-15T23:00:00+01:00;229940215808
2019-03-16T00:00:00+01:00;198672933614
2019-03-16T01:00:00+01:00;220691490816
2019-03-16T02:00:00+01:00;220691490816
2019-03-16T03:00:00+01:00;220678938624
2019-03-16T04:00:00+01:00;220509185058
2019-03-16T05:00:00+01:00;218527031364
2019-03-16T06:00:00+01:00;218442823680
2019-03-16T07:00:00+01:00;218442823680
2019-03-16T08:00:00+01:00;218442823680
2019-03-16T09:00:00+01:00;218442823680
2019-03-16T10:00:00+01:00;218442823680
