Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T17:54:00+02:00;13786000000;2,37E+11;8597504;8347648;5;0;2;0;0;9,5;0,5;0,5;1;0;1;0
2019-06-27T17:56:00+02:00;11532000000;2,37E+11;9251840;8984064;5;0;1;0;0;5;1;1;1;0;0,5;0,5
2019-06-27T17:58:00+02:00;14501000000;2,37E+11;6695936;6870016;5,5;0;2,5;0;0;6,5;0;0,5;1;0,5;0,5;0
2019-06-27T18:00:00+02:00;13729500000;2,37E+11;8922112;8575488;5;33;1;0;0;12,5;5;9,5;10,5;0;7,5;7,5
2019-06-27T18:02:00+02:00;15760000000;2,37E+11;6009856;5731328;13,5;0;0,5;0;1;11,5;4;3;8,5;0;6,5;1
2019-06-27T18:04:00+02:00;12038000000;2,37E+11;8287232;8343552;1,5;1;2,5;0;2;5;0;0;1,5;0;1;1
2019-06-27T18:06:00+02:00;14845500000;2,37E+11;8729088;11429888;5;0,5;2;0;0;11;2,5;2;6;0;7;3
2019-06-27T18:08:00+02:00;12952500000;2,37E+11;8910848;17751040;4,5;6,5;1,5;0;2,5;5;0;0;1;0;1;0
2019-06-27T18:10:00+02:00;12318000000;2,37E+11;9939456;20599296;5;5,5;1,5;0;2,5;5;1;1;1;0;1;1
2019-06-27T18:12:00+02:00;11716000000;2,37E+11;9126912;18228736;12,5;0;3;3;0;10;2;2;3,5;1;6;1,5
2019-06-27T18:14:00+02:00;11154000000;2,37E+11;7655936;30051840;5;0;0;0;2;5;1;0;1,5;1,5;2;1
2019-06-27T18:16:00+02:00;13726000000;2,37E+11;6549504;15935488;5,5;0;0;0;1,5;4;1;0;1,5;1,5;1;0,5
2019-06-27T18:18:00+02:00;10448000000;2,37E+11;7487488;18469888;3;1;1;0;1;3,5;0,5;0,5;1,5;0;0,5;0
2019-06-27T18:20:00+02:00;12563500000;2,37E+11;6341632;5825536;3,5;0;1;0;0,5;2,5;0,5;0;1,5;0;1;0
2019-06-27T18:22:00+02:00;12586500000;2,37E+11;6908928;7014912;4,5;0;5;0;0;5,5;0;0;1;0;1;0,5
2019-06-27T18:24:00+02:00;12590500000;2,37E+11;11038720;7197184;3,5;0;0,5;0;0;1;2;2,5;19;0;19;2
2019-06-27T18:26:00+02:00;12242000000;2,37E+11;7551488;7500288;5;0;0,5;0;0;4;0;0,5;1;0;3;0
2019-06-27T18:28:00+02:00;13419000000;2,37E+11;7228416;6987264;2,5;0;1,5;0;0,5;6;0;0;1;0;2;0,5
2019-06-27T18:30:00+02:00;12322500000;2,37E+11;8244224;8485376;4;1;1;0;1;5;0;0,5;1;0,5;2;0,5
2019-06-27T18:32:00+02:00;11549500000;2,37E+11;6523392;6569472;7;0;0;0;0;4,5;0;0;0,5;5;0;0
2019-06-27T18:34:00+02:00;12554500000;2,37E+11;7641088;7097344;3;0;1;0;0;5;0;0;1,5;0;0,5;0
2019-06-27T18:36:00+02:00;10791500000;2,37E+11;6278144;6168064;6;0;0;0;0;6;0;0;1;0;0,5;0
2019-06-27T18:38:00+02:00;13955000000;2,37E+11;5530624;4917248;5;0,5;0,5;0;0;6;0;0;1,5;0;1;0
2019-06-27T18:40:00+02:00;12419500000;2,37E+11;6856192;6794240;3,5;1;1;3;2;4;0;0;1,5;0;0;0,5
2019-06-27T18:42:00+02:00;11835000000;2,37E+11;7708672;7140864;4;0;1;0;0;11;0;0;1;2;0;0
2019-06-27T18:44:00+02:00;11903000000;2,37E+11;6893568;6618624;4,5;0;1;23;0;5;2;26,5;4,5;114;2;7,5
2019-06-27T18:46:00+02:00;12358500000;2,37E+11;6451712;6422016;6,5;0;1,5;23;1,5;14;2;2;6;0;2;1
2019-06-27T18:48:00+02:00;13663500000;2,37E+11;6930432;6746624;4,5;0;0,5;0;0;5;0,5;0;1,5;0;1;0,5
2019-06-27T18:50:00+02:00;11826500000;2,37E+11;9430528;9904128;2;2;1;0;0;15,5;1;1;3;0;2;1,5
2019-06-27T18:52:00+02:00;13291000000;2,37E+11;9051136;8813568;6,5;1,5;1;0;1;15,5;1;1;3;0;2;2
2019-06-27T18:54:00+02:00;11958500000;2,37E+11;9653248;9617408;0;0;1;0;2;5;0;0,5;1;0;1;0
2019-06-27T18:56:00+02:00;13606500000;2,37E+11;9824256;9155584;4;0;2;0;4,5;6,5;1;0,5;2;0,5;2;2
2019-06-27T18:58:00+02:00;11137000000;2,37E+11;8319488;8848384;4;17;1;150,5;3;13;2;20,5;3,5;114,5;2,5;1
2019-06-27T19:00:00+02:00;13619000000;2,37E+11;9320960;8897024;4,5;15,5;0;150,5;0;6;0;3;0;0;0;0
2019-06-27T19:02:00+02:00;15844500000;2,37E+11;9424384;9056256;8;1;3,5;2;1,5;3,5;5;5,5;3;5;9,5;11,5
2019-06-27T19:04:00+02:00;12955500000;2,37E+11;6848000;7449600;2;0;0,5;0;0;4;0;0;1;0;0;0,5
2019-06-27T19:06:00+02:00;11103000000;2,37E+11;6521856;7053312;1,5;0;0;3;0;4;0;0;1,5;0;2;0,5
2019-06-27T19:08:00+02:00;10548000000;2,37E+11;6901760;7226880;5;0;1;0;0;5,5;1;0;1;1;0,5;0
2019-06-27T19:10:00+02:00;11469000000;2,37E+11;5783552;8643584;5;0;1;0;0;5,5;0;0;1,5;1;0;1,5
2019-06-27T19:12:00+02:00;9042500000;2,37E+11;5792768;5683712;4;0;0;0;0;2,5;0;0,5;1;0;0,5;0,5
2019-06-27T19:14:00+02:00;10157000000;2,37E+11;7001088;6501376;3,5;0;1;0;3;3,5;0;0;1;0;0,5;1
2019-06-27T19:16:00+02:00;9872000000;2,37E+11;7632896;7493632;4,5;1,5;0;0;1;4,5;0,5;24;1,5;0;1,5;1,5
2019-06-27T19:18:00+02:00;9946000000;2,37E+11;5324800;4998144;2;0;0,5;0;1;7;0;0;1;0;2;1
2019-06-27T19:20:00+02:00;10264500000;2,37E+11;6991360;5072896;7;1,5;0,5;0;0;3;1;0,5;1;1,5;1,5;0,5
2019-06-27T19:22:00+02:00;8995000000;2,37E+11;6057984;6245376;6,5;0;2;0;0;6;0;0;1;0;1;0
2019-06-27T19:24:00+02:00;9166000000;2,37E+11;4998144;4656128;2,5;1;2;0;0,5;3,5;0;0;1;0;1;0,5
2019-06-27T19:26:00+02:00;8538500000;2,37E+11;5765120;5651456;null;null;null;null;null;2;0;0;1;1;0;0
2019-06-27T19:28:00+02:00;10559500000;2,37E+11;5141504;4768768;0;0;0;1,5;0;3;0;0;1;0,5;0,5;0
2019-06-27T19:30:00+02:00;11163000000;2,37E+11;4261376;4099584;2;0;8;0;3;7,5;4,5;3;4,5;1;6,5;2,5
2019-06-27T19:32:00+02:00;10206500000;2,37E+11;4843008;4820480;0,5;0,5;6,5;0;1;5;4,5;0;1;0;0;1
2019-06-27T19:34:00+02:00;9997000000;2,37E+11;4665856;4687360;0;0;0,5;1,5;0;3;1;1;1;0;0,5;0
2019-06-27T19:36:00+02:00;12108000000;2,41E+11;66605568;5402112;1;1,5;2;0;0;6;3;1;3;0;8;9
2019-06-27T19:38:00+02:00;10038000000;2,43E+11;5126144;5518336;2;0;1;0;0;4,5;2,5;14,5;2,5;3,5;4,5;8
2019-06-27T19:40:00+02:00;9204000000;2,43E+11;10023424;4616192;5;0;2;0;0;3,5;2,5;1;1;0;2;0,5
2019-06-27T19:42:00+02:00;10716500000;2,43E+11;5037056;4637696;2;0,5;0;0,5;0;5,5;0,5;0;1;6,5;2;0
2019-06-27T19:44:00+02:00;10018000000;2,43E+11;2763264;2705920;1;0;0,5;0;0;5,5;0;5;1;0;0,5;1,5
2019-06-27T19:46:00+02:00;9772500000;2,43E+11;4417024;4204032;1;1;18;0;2,5;11;2;3;9;0;8;4
2019-06-27T19:48:00+02:00;10797500000;2,43E+11;5484032;5377024;2;0,5;1;0;0;2;0;0;1;0;1;0
2019-06-27T19:50:00+02:00;9514500000;2,43E+11;3837952;3825664;1,5;0;1;0;0;5;0;0;1;0;1;36,5
2019-06-27T19:52:00+02:00;10917000000;2,43E+11;4470784;4406272;6,5;0,5;0,5;0;1,5;8,5;1,5;2;4,5;0;1,5;36,5
2019-06-27T19:54:00+02:00;9242000000;2,43E+11;6104576;5807616;4;6;0;0;0;6;0,5;1;1,5;0;0,5;0,5
2019-06-27T19:56:00+02:00;11238000000;2,43E+11;6226944;5854208;2;0;1;0;2;9;1;2;9,5;3;4;1
2019-06-27T19:58:00+02:00;8685000000;2,43E+11;5603840;5434880;2;0;1;0;0;4;0;0;0,5;0,5;0,5;0
2019-06-27T20:00:00+02:00;10256500000;2,43E+11;6383104;6021632;3,5;0;0,5;0;0;5;0;0;1;0;0;0
2019-06-27T20:02:00+02:00;14482000000;2,43E+11;6135296;6118912;4,5;0;0;0;3;3,5;1;3;5;4,5;3;0,5
2019-06-27T20:04:00+02:00;14511500000;2,43E+11;7328256;7216640;2;0;0;0;0;5;0;0;1;0;1;1,5
2019-06-27T20:06:00+02:00;12430500000;2,43E+11;7350272;7327744;1,5;0;1;0;0;6;1,5;0;1,5;0;5,5;1,5
2019-06-27T20:08:00+02:00;11045000000;2,43E+11;6184960;6339072;1;2;2;0;2;5,5;0;3,5;1,5;0;2;0,5
2019-06-27T20:10:00+02:00;12062000000;2,43E+11;6746112;6450176;5,5;0;0,5;0;0;5,5;0;3,5;1,5;0;2;0
2019-06-27T20:12:00+02:00;9851000000;2,43E+11;6562304;6888448;2;0;0;0;2,5;5;0;0;0,5;0,5;1,5;0
2019-06-27T20:14:00+02:00;12136000000;2,43E+11;6226432;5844992;2,5;0;0;0;2,5;5;0;1;1;0;1;0
2019-06-27T20:16:00+02:00;14158500000;2,43E+11;6048256;5990912;2;0;0,5;0;0;5;0,5;0,5;1,5;0;1;0
2019-06-27T20:18:00+02:00;10205500000;2,43E+11;6175232;5944832;1;0;1;0;0;3;0;0;1;0;1;0
2019-06-27T20:20:00+02:00;12537000000;2,43E+11;5388288;5242880;2,5;0;1,5;0;0;5;0;1;1;0;0;0
2019-06-27T20:22:00+02:00;9234000000;2,43E+11;5846016;5861888;0;0;0;0;0;4,5;0;0;0,5;0;1;0
2019-06-27T20:24:00+02:00;11141500000;2,43E+11;5889024;6112256;2,5;0;0,5;0;0;6,5;0;0;0,5;0;1;0
2019-06-27T20:26:00+02:00;9441500000;2,43E+11;5523456;5458432;4;1;1;1,5;1;4,5;0;0;1,5;0,5;1,5;0
2019-06-27T20:28:00+02:00;12596000000;2,43E+11;6758912;6500352;4;0;1;0;0;7;1;0;1;0;0;0
2019-06-27T20:30:00+02:00;11397000000;2,43E+11;6830080;6900736;4;0;1;0;1;4;0;0;1;0;0;0
2019-06-27T20:32:00+02:00;9673500000;2,43E+11;6528000;6317568;5;0;0;0;2;3;0;0;2;0;0;0
2019-06-27T20:34:00+02:00;10216000000;2,43E+11;18472960;19023872;3,5;1;1;0;1;6;0;0;1;5,5;0;0
2019-06-27T20:36:00+02:00;10063000000;2,43E+11;6022144;5637120;3;0;1;0;0;3,5;0;0,5;1,5;0;0,5;0
2019-06-27T20:38:00+02:00;9812500000;2,43E+11;4812800;5182464;2;0;0;1;0;4;0;0,5;1;0;1;0
2019-06-27T20:40:00+02:00;10796500000;2,43E+11;3523072;3550720;1,5;0,5;1;0;2,5;4,5;0,5;2;1,5;1,5;1,5;0,5
2019-06-27T20:42:00+02:00;10368500000;2,43E+11;5280256;5075968;2;0,5;0,5;0;0;5;0;0;2;0;0;0
2019-06-27T20:44:00+02:00;10168500000;2,43E+11;4472832;4516864;1,5;0;1;0;0;5;0;0;1,5;0;0,5;0
2019-06-27T20:46:00+02:00;9580500000;2,43E+11;4256256;3862016;0,5;0;5;0;0;5;4;2;1;1;3;0,5
2019-06-27T20:48:00+02:00;9783500000;2,43E+11;3820544;4496384;3,5;0;0,5;0;0;4,5;0;0;1;0;2;0
2019-06-27T20:50:00+02:00;9746000000;2,43E+11;4426240;5063680;3;0;1;0;0;5;3;1,5;2,5;0;1,5;0
2019-06-27T20:52:00+02:00;10718000000;2,43E+11;5203968;5225472;2;1;1;0;0;5;3;1,5;2,5;0;2;0
2019-06-27T20:54:00+02:00;8512500000;2,43E+11;5401600;5495808;3,5;0,5;0;4;2;6;0;0,5;1;0;1;0
2019-06-27T20:56:00+02:00;15657000000;2,43E+11;6926848;6862848;3;1;1;0;2;3;1;0,5;4;0;2;1
2019-06-27T20:58:00+02:00;9449500000;2,43E+11;5623808;5635584;3;0;0,5;0;0;3,5;0;0;2;0;1;0
2019-06-27T21:00:00+02:00;10204000000;2,43E+11;6082048;5997056;3;0;1;1;0;5;0;0;0;0;0;1,5
2019-06-27T21:02:00+02:00;16898500000;2,43E+11;7047680;7180288;4;0;1,5;0;0,5;41,5;2,5;2,5;4;3,5;4,5;1,5
2019-06-27T21:04:00+02:00;13113500000;2,43E+11;6619648;7576064;1;0;1;0;0;7;0;0;2;0;2;0
2019-06-27T21:06:00+02:00;13739500000;2,43E+11;10553344;11883520;8;1;1;1;0;9;1;1,5;2;0;2;1
2019-06-27T21:08:00+02:00;9780500000;2,43E+11;5385728;7419904;1;0;1;0;0;5,5;0,5;0,5;2,5;0;3;0
2019-06-27T21:10:00+02:00;11964000000;2,43E+11;6739968;8445952;28;3,5;5,5;0;2,5;17;4;2;7;6;5;4
2019-06-27T21:12:00+02:00;9728000000;2,43E+11;4102656;5662720;4,5;0;1;0;4,5;4,5;0;1;1,5;0;1;0
2019-06-27T21:14:00+02:00;11445500000;2,43E+11;4799488;6633984;4;0,5;0,5;0;4,5;6;0;0;1;0;1;0
2019-06-27T21:16:00+02:00;10575500000;2,43E+11;4849664;7565312;6;0;0;0;0;6;0;0;1;0;0;0
2019-06-27T21:18:00+02:00;10414000000;2,43E+11;5129216;7603712;6;9;1;0;1,5;3;0;1;2;0;2;0
2019-06-27T21:20:00+02:00;11130000000;2,43E+11;5755392;8263168;4;0;1,5;0;0;5;0,5;0;2;0;1,5;0
2019-06-27T21:22:00+02:00;11970000000;2,43E+11;5988864;8009216;3;0;1;0;0;6;0;0;1;0;0;0
2019-06-27T21:24:00+02:00;12211500000;2,43E+11;3780608;11405312;3,5;0;1;0;0;6;0,5;0,5;2;0,5;1;0
2019-06-27T21:26:00+02:00;8962000000;2,43E+11;5467136;5275648;2;0;0;0;0;5,5;0;0,5;2;0,5;2,5;0
2019-06-27T21:28:00+02:00;10178000000;2,43E+11;5884928;5909504;5;0;0;1,5;0;5,5;0;0;1,5;0,5;1;0
2019-06-27T21:30:00+02:00;11140500000;2,43E+11;4477952;4958208;4,5;0;6;0;2,5;21,5;5,5;0,5;5;1,5;13,5;3,5
2019-06-27T21:32:00+02:00;11087500000;2,43E+11;5825024;8852992;4,5;0;6,5;0;2,5;9;1;4;2;0;4;0,5
2019-06-27T21:34:00+02:00;13132500000;2,43E+11;6430720;7823360;4;0;4;0;1;5;0;0,5;1,5;0;0,5;0
2019-06-27T21:36:00+02:00;8615000000;2,43E+11;5900800;6401024;3;4;2;0;0;7;4;3;14;0;2,5;1
2019-06-27T21:38:00+02:00;10185500000;2,43E+11;4875264;5873664;2;0;0,5;0;0;3;0;0;1;0;2,5;0
2019-06-27T21:40:00+02:00;10326000000;2,43E+11;5966848;6713856;0;4;2;0;5;4,5;1;1,5;1,5;1,5;1,5;0,5
2019-06-27T21:42:00+02:00;11452500000;2,43E+11;4935680;8596480;1,5;0;0,5;0;0;4,5;1;0,5;1,5;1,5;1,5;0
2019-06-27T21:44:00+02:00;10232000000;2,43E+11;5769216;8813568;7,5;1;1;0;5;4;1;0,5;1,5;0;0,5;0
2019-06-27T21:46:00+02:00;11098000000;2,43E+11;5178880;4985856;14;2;0,5;0;5;23;6;13;11;7;16;3,5
2019-06-27T21:48:00+02:00;10455000000;2,43E+11;5666304;5774848;5;0;0,5;0;0;6;0;0;1,5;0;1;0
2019-06-27T21:50:00+02:00;9739500000;2,43E+11;8452608;8269312;5;0;1;0;0;12;0;0;1;0;6;0,5
2019-06-27T21:52:00+02:00;13457000000;2,43E+11;8406016;8673280;11,5;0;2,5;0;0;12;1;3,5;2,5;0;7;0,5
2019-06-27T21:54:00+02:00;11795000000;2,43E+11;8414720;8646144;1;1;1;6;0;6;0;0;1,5;0;1;0
2019-06-27T21:56:00+02:00;10924000000;2,43E+11;7231488;8224768;9;0;1;0;2;6,5;1;1;11,5;1;2;1
2019-06-27T21:58:00+02:00;9648000000;2,43E+11;8910336;9104896;5,5;0;0;0;0;4,5;0;0;0,5;0;0,5;0
2019-06-27T22:00:00+02:00;12208000000;2,43E+11;8253952;8037888;4;0;0,5;0;0;4;1;0;0;0;0;1,5
2019-06-27T22:02:00+02:00;17640500000;2,43E+11;7980032;7941120;25;2,5;2;0;3,5;9,5;2,5;7;5,5;8;5,5;1,5
2019-06-27T22:04:00+02:00;11550000000;2,43E+11;7554048;7268864;3,5;0;1;0;0;6;2;3;1;0;3;1
2019-06-27T22:06:00+02:00;12587500000;2,43E+11;8381440;8487936;3,5;2;0;0;0;5,5;0,5;1;1;0;1;0
2019-06-27T22:08:00+02:00;8883500000;2,43E+11;7183872;6615552;3;0;0;0;0;6;0;0,5;1;0;1;0
2019-06-27T22:10:00+02:00;12011500000;2,43E+11;6288384;6294528;6;0;0;1;0;5;0;0,5;1;0;1;0
2019-06-27T22:12:00+02:00;9941000000;2,43E+11;5859840;5969920;2;0;0;0;2;4,5;0;0,5;1;0,5;0,5;0
2019-06-27T22:14:00+02:00;12353500000;2,43E+11;6952960;6765568;2;0;0,5;0;2;4;0;1;1;0,5;1;0
2019-06-27T22:16:00+02:00;12123500000;2,43E+11;6867456;6650368;1,5;0;1,5;1;0;8;2,5;1;2,5;0,5;3;1,5
2019-06-27T22:18:00+02:00;12526500000;2,43E+11;7254528;7034368;0,5;0;1,5;0,5;1;5;1;0;2;6;1;1
2019-06-27T22:20:00+02:00;12104500000;2,43E+11;7259648;7045632;1,5;0;2;0,5;1;5,5;1,5;1,5;2,5;2;2,5;1,5
2019-06-27T22:22:00+02:00;9773500000;2,43E+11;7783936;7698944;0;0;0;0;0;5,5;1;0;2,5;3;1;0,5
2019-06-27T22:24:00+02:00;11555500000;2,43E+11;6933504;7296000;5;0;0;0;0;4,5;0;2;2;3;1;0
2019-06-27T22:26:00+02:00;10840000000;2,43E+11;7326720;6850560;4;0;0,5;0;0;5,5;0;0,5;1;0;1;0
2019-06-27T22:28:00+02:00;12828000000;2,43E+11;6991360;7074304;3,5;1;1;0;1;6,5;0;0;1;0;0;0
2019-06-27T22:30:00+02:00;11243000000;2,43E+11;7111168;7191040;0;0,5;1;0;2;7,5;2;14;3;0;2;3
2019-06-27T22:32:00+02:00;12202500000;2,43E+11;7488000;7132672;1;0,5;1,5;1,5;1,5;6;0;0;3;0;1;0
2019-06-27T22:34:00+02:00;10464000000;2,43E+11;7169024;7313920;2,5;0;0;0;0;6,5;0;0;1;0;0,5;0
2019-06-27T22:36:00+02:00;9806500000;2,43E+11;5836288;5522432;8;0;2;0;0;7;1;1;6,5;0;0,5;0,5
2019-06-27T22:38:00+02:00;10123500000;2,43E+11;6304768;6639616;3;0;0,5;0;0;4;0;0,5;1;0;0;0
2019-06-27T22:40:00+02:00;9009000000;2,43E+11;6227456;5776896;3,5;0;0;0;2;7;0,5;0,5;1;2,5;1,5;0,5
2019-06-27T22:42:00+02:00;9734500000;2,43E+11;5254656;5448704;3,5;0,5;0,5;0;0;7;1;1;1;0;0;1
2019-06-27T22:44:00+02:00;9010500000;2,43E+11;5695488;5777920;2,5;1;1,5;0;1;4,5;0;0;1;1;1;0
2019-06-27T22:46:00+02:00;10493000000;2,43E+11;6297600;5895168;4;1;1,5;0;10;1;2;5;13;2;4;1
2019-06-27T22:48:00+02:00;10005000000;2,43E+11;6259712;6578176;0;0;1;0;0;5,5;0;0;1;0;1;0
2019-06-27T22:50:00+02:00;9660000000;2,43E+11;5927424;5768192;5;0;0;0;2;7;0,5;0;2;0;1;0,5
2019-06-27T22:52:00+02:00;9694000000;2,43E+11;5088256;5465088;2;0;0,5;0;0;7,5;0,5;0;2;0;1;0
2019-06-27T22:54:00+02:00;12341500000;2,43E+11;5441024;5009408;1,5;0;2,5;1,5;2;5;0;0;0,5;0,5;1;0
2019-06-27T22:56:00+02:00;11188500000;2,43E+11;5007360;5037568;7;0;12,5;0;2;7;1;4;2;0;3;1
2019-06-27T22:58:00+02:00;10863500000;2,43E+11;5964800;5966848;2,5;0;0;0;0;5,5;0;0,5;2;0;2,5;0
2019-06-27T23:00:00+02:00;13586500000;2,43E+11;5872128;5690368;1,5;1;0;0;0;3;0;0;2;0;1;0,5
2019-06-27T23:02:00+02:00;14450500000;2,43E+11;5170176;5080064;5;1,5;0,5;0;0,5;30;1,5;5;3;0;4;0,5
2019-06-27T23:04:00+02:00;13078500000;2,43E+11;5300736;5176320;4;0;0;0;2;7;0;0;1,5;0;1;1
2019-06-27T23:06:00+02:00;11952500000;2,43E+11;5590016;5821440;0,5;3;3;0;1;7,5;1,5;1,5;2,5;0;1,5;2
2019-06-27T23:08:00+02:00;8860500000;2,43E+11;5864448;5641728;1;0;0,5;0;0;4,5;0;0;1,5;0;1,5;0
2019-06-27T23:10:00+02:00;13952000000;2,43E+11;5980160;5893632;1;4,5;1,5;0;0;4;0;2,5;1;0;0;0
2019-06-27T23:12:00+02:00;9419500000;2,43E+11;5549568;5356544;3,5;0;2;0;0,5;9;1,5;0,5;2,5;0;3;1
2019-06-27T23:14:00+02:00;11794000000;2,43E+11;3095552;2988544;3;0;1,5;0;0;6;0;0;1;0;1;0
2019-06-27T23:16:00+02:00;9939500000;2,43E+11;3476480;3522560;1,5;1,5;1;1;0;3;0;0;1;0;0,5;0
2019-06-27T23:18:00+02:00;9607000000;2,43E+11;4897280;25553920;0;0;1;0;0;5;0;0;1;0;0;0
2019-06-27T23:20:00+02:00;10491000000;2,43E+11;3923968;45114368;1,5;0;0;0;0;6;0;1,5;1,5;0;1,5;0
2019-06-27T23:22:00+02:00;10020000000;2,43E+11;6835200;37708288;1;0;0;0;0;16,5;1,5;12,5;3,5;0;1;2
2019-06-27T23:24:00+02:00;11738500000;2,43E+11;7216128;46393344;1;2;1;0;0;14;1;13;2;0;0,5;0
2019-06-27T23:26:00+02:00;10439000000;2,43E+11;6384128;48875520;5,5;1,5;0;0;0;8;0,5;0;1,5;0;3;0
2019-06-27T23:28:00+02:00;11064500000;2,43E+11;5755392;22627328;3,5;0,5;0;0;1;6;0,5;0;2;0;1;0
2019-06-27T23:30:00+02:00;9943000000;2,43E+11;19953664;19707392;3;0;1;0;0;6;0,5;2;1;0;2;0
2019-06-27T23:32:00+02:00;10926500000;2,43E+11;5015040;4722688;4,5;0;0,5;0;0;5;0;0;1;0;0;0
2019-06-27T23:34:00+02:00;9887500000;2,43E+11;4040192;3878400;0,5;0,5;0;0;0,5;5,5;0;0;1;0;0,5;0
2019-06-27T23:36:00+02:00;9493000000;2,43E+11;5869056;5539840;3;0;0;0;0;6,5;2;0;1,5;0;3,5;0
2019-06-27T23:38:00+02:00;10027000000;2,43E+11;4983808;5261312;0;0,5;1,5;0;0;4,5;0;0;1;0;1;0
2019-06-27T23:40:00+02:00;10150000000;2,43E+11;4358144;4161536;5;0;1;0;4;7;0,5;0;0,5;1;1,5;0
2019-06-27T23:42:00+02:00;11360500000;2,43E+11;4164608;4096000;6;0;1;1,5;0;7;0,5;0;1;1;1,5;0
2019-06-27T23:44:00+02:00;8908000000;2,43E+11;3315200;2727424;2;0;0;0;0;5,5;0,5;0;2;0;3;0,5
2019-06-27T23:46:00+02:00;11475500000;2,43E+11;4465152;4380672;3;2;0,5;0;0;17;2;5;3;4;3;1
2019-06-27T23:48:00+02:00;10213000000;2,43E+11;3665920;3767296;1,5;0;0,5;0;0;6;0;0,5;1;0;0,5;0
2019-06-27T23:50:00+02:00;9541000000;2,43E+11;5130752;4530688;1,5;0;0;0;0;6;0;0;0;0;0;2
2019-06-27T23:52:00+02:00;11713500000;2,43E+11;3625984;3871744;0,5;0;1;0;0;7;3,5;1,5;2;0;3,5;2,5
2019-06-27T23:54:00+02:00;10060000000;2,43E+11;4427776;4008960;4;0;3;0;0;3,5;0,5;0;5;0;0,5;0,5
2019-06-27T23:56:00+02:00;11228500000;2,43E+11;2803712;2731008;0,5;0;1,5;0;3;13,5;2,5;40,5;4,5;3;2;3
2019-06-27T23:58:00+02:00;10395500000;2,43E+11;3581952;3801088;3;0;0;0;0;6;1,5;0,5;2,5;3;3;1,5
