Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore NFS;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore NFS;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085;Overall status
2019-06-27T17:52:00+02:00;12698500000;237130743808;9753600;9594368;0;6;3.5;1;1;0;17;0;1;4;2;0;3;1;1
2019-06-27T17:54:00+02:00;13786000000;237133889536;8597504;8347648;0;5;0;2;0;0;9.5;0;0.5;0.5;1;0;1;0;1
2019-06-27T17:56:00+02:00;11532000000;237135462400;9251840;8984064;0;5;0;1;0;0;5;0;1;1;1;0;0.5;0.5;1
2019-06-27T17:58:00+02:00;14501000000;237136510976;6695936;6870016;0;5.5;0;2.5;0;0;6.5;0;0;0.5;1;0.5;0.5;0;1
2019-06-27T18:00:00+02:00;13729500000;237140180992;8922112;8575488;0;5;33;1;0;0;12.5;0;5;9.5;10.5;0;7.5;7.5;1
2019-06-27T18:02:00+02:00;15760000000;237160103936;6009856;5731328;0;13.5;0;0.5;0;1;11.5;0;4;3;8.5;0;6.5;1;1
2019-06-27T18:04:00+02:00;12038000000;237138083840;8287232;8343552;0;1.5;1;2.5;0;2;5;0;0;0;1.5;0;1;1;1
2019-06-27T18:06:00+02:00;14845500000;237153288192;8729088;11429888;0;5;0.5;2;0;0;11;0;2.5;2;6;0;7;3;1
2019-06-27T18:08:00+02:00;12952500000;237157482496;8910848;17751040;0;4.5;6.5;1.5;0;2.5;5;0;0;0;1;0;1;0;1
2019-06-27T18:10:00+02:00;12318000000;237151715328;9939456;20599296;0;5;5.5;1.5;0;2.5;5;0;1;1;1;0;1;1;1
2019-06-27T18:12:00+02:00;11716000000;237146996736;9126912;18228736;0;12.5;0;3;3;0;10;0;2;2;3.5;1;6;1.5;1
2019-06-27T18:14:00+02:00;11154000000;237149618176;7655936;30051840;0;5;0;0;0;2;5;0;1;0;1.5;1.5;2;1;1
2019-06-27T18:16:00+02:00;13726000000;237150666752;6549504;15935488;0;5.5;0;0;0;1.5;4;0;1;0;1.5;1.5;1;0.5;1
2019-06-27T18:18:00+02:00;10448000000;237129170944;7487488;18469888;0;3;1;1;0;1;3.5;0;0.5;0.5;1.5;0;0.5;0;1
2019-06-27T18:20:00+02:00;12563500000;237116063744;6341632;5825536;0;3.5;0;1;0;0.5;2.5;0;0.5;0;1.5;0;1;0;1
2019-06-27T18:22:00+02:00;12586500000;237111869440;6908928;7014912;0;4.5;0;5;0;0;5.5;0;0;0;1;0;1;0.5;1
2019-06-27T18:24:00+02:00;12590500000;237107150848;11038720;7197184;0;3.5;0;0.5;0;0;1;0;2;2.5;19;0;19;2;1
2019-06-27T18:26:00+02:00;12242000000;237112918016;7551488;7500288;0;5;0;0.5;0;0;4;0;0;0.5;1;0;3;0;1
2019-06-27T18:28:00+02:00;13419000000;237114490880;7228416;6987264;0;2.5;0;1.5;0;0.5;6;0;0;0;1;0;2;0.5;1
2019-06-27T18:30:00+02:00;12322500000;237113442304;8244224;8485376;0;4;1;1;0;1;5;0;0;0.5;1;0.5;2;0.5;1
2019-06-27T18:32:00+02:00;11549500000;237110820864;6523392;6569472;0;7;0;0;0;0;4.5;0;0;0;0.5;5;0;0;1
2019-06-27T18:34:00+02:00;12554500000;237110820864;7641088;7097344;0;3;0;1;0;0;5;0;0;0;1.5;0;0.5;0;1
2019-06-27T18:36:00+02:00;10791500000;237112393728;6278144;6168064;0;6;0;0;0;0;6;0;0;0;1;0;0.5;0;1
2019-06-27T18:38:00+02:00;13955000000;237111869440;5530624;4917248;0;5;0.5;0.5;0;0;6;0;0;0;1.5;0;1;0;1
2019-06-27T18:40:00+02:00;12419500000;237113442304;6856192;6794240;0;3.5;1;1;3;2;4;0;0;0;1.5;0;0;0.5;1
2019-06-27T18:42:00+02:00;11835000000;237116588032;7708672;7140864;0;4;0;1;0;0;11;0;0;0;1;2;0;0;1
2019-06-27T18:44:00+02:00;11903000000;237110296576;6893568;6618624;0;4.5;0;1;23;0;5;0;2;26.5;4.5;114;2;7.5;1
2019-06-27T18:46:00+02:00;12358500000;237114490880;6451712;6422016;0;6.5;0;1.5;23;1.5;14;0;2;2;6;0;2;1;1
2019-06-27T18:48:00+02:00;13663500000;237113442304;6930432;6746624;0;4.5;0;0.5;0;0;5;0;0.5;0;1.5;0;1;0.5;1
2019-06-27T18:50:00+02:00;11826500000;237113442304;9430528;9904128;0;2;2;1;0;0;15.5;0;1;1;3;0;2;1.5;1
2019-06-27T18:52:00+02:00;13291000000;237113966592;9051136;8813568;0;6.5;1.5;1;0;1;15.5;0;1;1;3;0;2;2;1
2019-06-27T18:54:00+02:00;11958500000;237110820864;9653248;9617408;0;0;0;1;0;2;5;0;0;0.5;1;0;1;0;1
2019-06-27T18:56:00+02:00;13606500000;237111869440;9824256;9155584;0;4;0;2;0;4.5;6.5;0;1;0.5;2;0.5;2;2;1
2019-06-27T18:58:00+02:00;11137000000;237107675136;8319488;8848384;0;4;17;1;150.5;3;13;0;2;20.5;3.5;114.5;2.5;1;1
2019-06-27T19:00:00+02:00;13619000000;237122879488;9320960;8897024;0;4.5;15.5;0;150.5;0;6;0;0;3;0;0;0;0;1
2019-06-27T19:02:00+02:00;15844500000;237126025216;9424384;9056256;0;8;1;3.5;2;1.5;3.5;0;5;5.5;3;5;9.5;11.5;1
2019-06-27T19:04:00+02:00;12955500000;237115015168;6848000;7449600;0;2;0;0.5;0;0;4;0;0;0;1;0;0;0.5;1
2019-06-27T19:06:00+02:00;11103000000;237119733760;6521856;7053312;0;1.5;0;0;3;0;4;0;0;0;1.5;0;2;0.5;1
2019-06-27T19:08:00+02:00;10548000000;237114490880;6901760;7226880;0;5;0;1;0;0;5.5;0;1;0;1;1;0.5;0;1
2019-06-27T19:10:00+02:00;11469000000;237117112320;5783552;8643584;0;5;0;1;0;0;5.5;0;0;0;1.5;1;0;1.5;1
2019-06-27T19:12:00+02:00;9042500000;237116063744;5792768;5683712;0;4;0;0;0;0;2.5;0;0;0.5;1;0;0.5;0.5;1
2019-06-27T19:14:00+02:00;10157000000;237116588032;7001088;6501376;0;3.5;0;1;0;3;3.5;0;0;0;1;0;0.5;1;1
2019-06-27T19:16:00+02:00;9872000000;237115539456;7632896;7493632;0;4.5;1.5;0;0;1;4.5;0;0.5;24;1.5;0;1.5;1.5;1
2019-06-27T19:18:00+02:00;9946000000;237113966592;5324800;4998144;0;2;0;0.5;0;1;7;0;0;0;1;0;2;1;1
2019-06-27T19:20:00+02:00;10264500000;237117636608;6991360;5072896;0;7;1.5;0.5;0;0;3;0;1;0.5;1;1.5;1.5;0.5;1
2019-06-27T19:22:00+02:00;8995000000;237107150848;6057984;6245376;0;6.5;0;2;0;0;6;0;0;0;1;0;1;0;1
2019-06-27T19:24:00+02:00;9166000000;237110296576;4998144;4656128;0;2.5;1;2;0;0.5;3.5;0;0;0;1;0;1;0.5;1
2019-06-27T19:26:00+02:00;8538500000;237112393728;5765120;5651456;null;null;null;null;null;null;2;0;0;0;1;1;0;0;1
2019-06-27T19:28:00+02:00;10559500000;237108723712;5141504;4768768;0;0;0;0;1.5;0;3;0;0;0;1;0.5;0.5;0;1
2019-06-27T19:30:00+02:00;11163000000;237113442304;4261376;4099584;0;2;0;8;0;3;7.5;0;4.5;3;4.5;1;6.5;2.5;1
2019-06-27T19:32:00+02:00;10206500000;237111869440;4843008;4820480;0;0.5;0.5;6.5;0;1;5;0;4.5;0;1;0;0;1;1
2019-06-27T19:34:00+02:00;9997000000;237109248000;4665856;4687360;0;0;0;0.5;1.5;0;3;0;1;1;1;0;0.5;0;1
2019-06-27T19:36:00+02:00;12108000000;240713728000;66605568;5402112;0;1;1.5;2;0;0;6;0;3;1;3;0;8;9;1
2019-06-27T19:38:00+02:00;10038000000;242652020736;5126144;5518336;0;2;0;1;0;0;4.5;0;2.5;14.5;2.5;3.5;4.5;8;1
2019-06-27T19:40:00+02:00;9204000000;242643107840;10023424;4616192;0;5;0;2;0;0;3.5;0;2.5;1;1;0;2;0.5;1
2019-06-27T19:42:00+02:00;10716500000;242626330624;5037056;4637696;0;2;0.5;0;0.5;0;5.5;0;0.5;0;1;6.5;2;0;1
2019-06-27T19:44:00+02:00;10018000000;242613223424;2763264;2705920;0;1;0;0.5;0;0;5.5;0;0;5;1;0;0.5;1.5;1
2019-06-27T19:46:00+02:00;9772500000;242609029120;4417024;4204032;0.5;1;1;18;0;2.5;11;0;2;3;9;0;8;4;1
2019-06-27T19:48:00+02:00;10797500000;242593824768;5484032;5377024;0;2;0.5;1;0;0;2;0;0;0;1;0;1;0;1
2019-06-27T19:50:00+02:00;9514500000;242591203328;3837952;3825664;0;1.5;0;1;0;0;5;0;0;0;1;0;1;36.5;1
2019-06-27T19:52:00+02:00;10917000000;242583863296;4470784;4406272;0;6.5;0.5;0.5;0;1.5;8.5;0;1.5;2;4.5;0;1.5;36.5;1
2019-06-27T19:54:00+02:00;9242000000;242569183232;6104576;5807616;0;4;6;0;0;0;6;0;0.5;1;1.5;0;0.5;0.5;1
2019-06-27T19:56:00+02:00;11238000000;242553454592;6226944;5854208;0;2;0;1;0;2;9;0;1;2;9.5;3;4;1;1
2019-06-27T19:58:00+02:00;8685000000;242529337344;5603840;5434880;0;2;0;1;0;0;4;0;0;0;0.5;0.5;0.5;0;1
2019-06-27T20:00:00+02:00;10256500000;242543493120;6383104;6021632;0;3.5;0;0.5;0;0;5;0;0;0;1;0;0;0;1
2019-06-27T20:02:00+02:00;14482000000;242538774528;6135296;6118912;0;4.5;0;0;0;3;3.5;0;1;3;5;4.5;3;0.5;1
2019-06-27T20:04:00+02:00;14511500000;242514657280;7328256;7216640;0;2;0;0;0;0;5;0;0;0;1;0;1;1.5;1
2019-06-27T20:06:00+02:00;12430500000;242523045888;7350272;7327744;0;1.5;0;1;0;0;6;0;1.5;0;1.5;0;5.5;1.5;1
2019-06-27T20:08:00+02:00;11045000000;242524618752;6184960;6339072;0;1;2;2;0;2;5.5;0;0;3.5;1.5;0;2;0.5;1
2019-06-27T20:10:00+02:00;12062000000;242533007360;6746112;6450176;1;5.5;0;0.5;0;0;5.5;0;0;3.5;1.5;0;2;0;1
2019-06-27T20:12:00+02:00;9851000000;242526715904;6562304;6888448;0;2;0;0;0;2.5;5;0;0;0;0.5;0.5;1.5;0;1
2019-06-27T20:14:00+02:00;12136000000;242532483072;6226432;5844992;0;2.5;0;0;0;2.5;5;0;0;1;1;0;1;0;1
2019-06-27T20:16:00+02:00;14158500000;242551357440;6048256;5990912;0;2;0;0.5;0;0;5;0;0.5;0.5;1.5;0;1;0;1
2019-06-27T20:18:00+02:00;10205500000;242546638848;6175232;5944832;0;1;0;1;0;0;3;0;0;0;1;0;1;0;1
2019-06-27T20:20:00+02:00;12537000000;242544017408;5388288;5242880;0;2.5;0;1.5;0;0;5;0;0;1;1;0;0;0;1
2019-06-27T20:22:00+02:00;9234000000;242542444544;5846016;5861888;0;0;0;0;0;0;4.5;0;0;0;0.5;0;1;0;1
2019-06-27T20:24:00+02:00;11141500000;242544017408;5889024;6112256;0;2.5;0;0.5;0;0;6.5;0;0;0;0.5;0;1;0;1
2019-06-27T20:26:00+02:00;9441500000;242543493120;5523456;5458432;0;4;1;1;1.5;1;4.5;0;0;0;1.5;0.5;1.5;0;1
2019-06-27T20:28:00+02:00;12596000000;242540871680;6758912;6500352;0;4;0;1;0;0;7;0;1;0;1;0;0;0;1
2019-06-27T20:30:00+02:00;11397000000;242547163136;6830080;6900736;0;4;0;1;0;1;4;0;0;0;1;0;0;0;1
2019-06-27T20:32:00+02:00;9673500000;242551357440;6528000;6317568;0;5;0;0;0;2;3;0;0;0;2;0;0;0;1
2019-06-27T20:34:00+02:00;10216000000;242561843200;18472960;19023872;2;3.5;1;1;0;1;6;1.5;0;0;1;5.5;0;0;1
2019-06-27T20:36:00+02:00;10063000000;242550833152;6022144;5637120;0;3;0;1;0;0;3.5;0;0;0.5;1.5;0;0.5;0;1
2019-06-27T20:38:00+02:00;9812500000;242561843200;4812800;5182464;0;2;0;0;1;0;4;0;0;0.5;1;0;1;0;1
2019-06-27T20:40:00+02:00;10796500000;242552406016;3523072;3550720;0;1.5;0.5;1;0;2.5;4.5;0;0.5;2;1.5;1.5;1.5;0.5;1
2019-06-27T20:42:00+02:00;10368500000;242551881728;5280256;5075968;0;2;0.5;0.5;0;0;5;0;0;0;2;0;0;0;1
2019-06-27T20:44:00+02:00;10168500000;242558173184;4472832;4516864;0;1.5;0;1;0;0;5;0;0;0;1.5;0;0.5;0;1
2019-06-27T20:46:00+02:00;9580500000;242562367488;4256256;3862016;0;0.5;0;5;0;0;5;0;4;2;1;1;3;0.5;1
2019-06-27T20:48:00+02:00;9783500000;242556076032;3820544;4496384;0;3.5;0;0.5;0;0;4.5;0;0;0;1;0;2;0;1
2019-06-27T20:50:00+02:00;9746000000;242560794624;4426240;5063680;0;3;0;1;0;0;5;0;3;1.5;2.5;0;1.5;0;1
2019-06-27T20:52:00+02:00;10718000000;242557124608;5203968;5225472;0;2;1;1;0;0;5;0;3;1.5;2.5;0;2;0;1
2019-06-27T20:54:00+02:00;8512500000;242558173184;5401600;5495808;0;3.5;0.5;0;4;2;6;0;0;0.5;1;0;1;0;1
2019-06-27T20:56:00+02:00;15657000000;242562367488;6926848;6862848;0;3;1;1;0;2;3;0;1;0.5;4;0;2;1;1
2019-06-27T20:58:00+02:00;9449500000;242558697472;5623808;5635584;0;3;0;0.5;0;0;3.5;0;0;0;2;0;1;0;1
2019-06-27T21:00:00+02:00;10204000000;242563416064;6082048;5997056;0;3;0;1;1;0;5;0;0;0;0;0;0;1.5;1
2019-06-27T21:02:00+02:00;16898500000;242580193280;7047680;7180288;0;4;0;1.5;0;0.5;41.5;0;2.5;2.5;4;3.5;4.5;1.5;1
2019-06-27T21:04:00+02:00;13113500000;242597494784;6619648;7576064;0;1;0;1;0;0;7;0;0;0;2;0;2;0;1
2019-06-27T21:06:00+02:00;13739500000;242652545024;10553344;11883520;2;8;1;1;1;0;9;0.5;1;1.5;2;0;2;1;1
2019-06-27T21:08:00+02:00;9780500000;242599591936;5385728;7419904;0;1;0;1;0;0;5.5;0;0.5;0.5;2.5;0;3;0;1
2019-06-27T21:10:00+02:00;11964000000;242602737664;6739968;8445952;0;28;3.5;5.5;0;2.5;17;0;4;2;7;6;5;4;1
2019-06-27T21:12:00+02:00;9728000000;242601689088;4102656;5662720;0;4.5;0;1;0;4.5;4.5;0;0;1;1.5;0;1;0;1
2019-06-27T21:14:00+02:00;11445500000;242596970496;4799488;6633984;0;4;0.5;0.5;0;4.5;6;0;0;0;1;0;1;0;1
2019-06-27T21:16:00+02:00;10575500000;242607980544;4849664;7565312;0;6;0;0;0;0;6;0;0;0;1;0;0;0;1
2019-06-27T21:18:00+02:00;10414000000;242599067648;5129216;7603712;0;6;9;1;0;1.5;3;0;0;1;2;0;2;0;1
2019-06-27T21:20:00+02:00;11130000000;242616369152;5755392;8263168;0;4;0;1.5;0;0;5;0;0.5;0;2;0;1.5;0;1
2019-06-27T21:22:00+02:00;11970000000;242616369152;5988864;8009216;0;3;0;1;0;0;6;0;0;0;1;0;0;0;1
2019-06-27T21:24:00+02:00;12211500000;242612174848;3780608;11405312;0;3.5;0;1;0;0;6;0;0.5;0.5;2;0.5;1;0;1
2019-06-27T21:26:00+02:00;8962000000;242613223424;5467136;5275648;0;2;0;0;0;0;5.5;0;0;0.5;2;0.5;2.5;0;1
2019-06-27T21:28:00+02:00;10178000000;242604834816;5884928;5909504;0;5;0;0;1.5;0;5.5;0;0;0;1.5;0.5;1;0;1
2019-06-27T21:30:00+02:00;11140500000;242617942016;4477952;4958208;0;4.5;0;6;0;2.5;21.5;0;5.5;0.5;5;1.5;13.5;3.5;1
2019-06-27T21:32:00+02:00;11087500000;242605883392;5825024;8852992;0;4.5;0;6.5;0;2.5;9;0;1;4;2;0;4;0.5;1
2019-06-27T21:34:00+02:00;13132500000;242614796288;6430720;7823360;0;4;0;4;0;1;5;0;0;0.5;1.5;0;0.5;0;1
2019-06-27T21:36:00+02:00;8615000000;242624233472;5900800;6401024;0;3;4;2;0;0;7;0;4;3;14;0;2.5;1;1
2019-06-27T21:38:00+02:00;10185500000;242616893440;4875264;5873664;0;2;0;0.5;0;0;3;0;0;0;1;0;2.5;0;1
2019-06-27T21:40:00+02:00;10326000000;242623184896;5966848;6713856;0;0;4;2;0;5;4.5;0;1;1.5;1.5;1.5;1.5;0.5;1
2019-06-27T21:42:00+02:00;11452500000;242617417728;4935680;8596480;0;1.5;0;0.5;0;0;4.5;0;1;0.5;1.5;1.5;1.5;0;1
2019-06-27T21:44:00+02:00;10232000000;242612174848;5769216;8813568;0;7.5;1;1;0;5;4;0;1;0.5;1.5;0;0.5;0;1
2019-06-27T21:46:00+02:00;11098000000;242623709184;5178880;4985856;0;14;2;0.5;0;5;23;0;6;13;11;7;16;3.5;1
2019-06-27T21:48:00+02:00;10455000000;242622136320;5666304;5774848;0;5;0;0.5;0;0;6;0;0;0;1.5;0;1;0;1
2019-06-27T21:50:00+02:00;9739500000;242633670656;8452608;8269312;0;5;0;1;0;0;12;0;0;0;1;0;6;0.5;1
2019-06-27T21:52:00+02:00;13457000000;242622660608;8406016;8673280;0;11.5;0;2.5;0;0;12;0;1;3.5;2.5;0;7;0.5;1
2019-06-27T21:54:00+02:00;11795000000;242627903488;8414720;8646144;0;1;1;1;6;0;6;0;0;0;1.5;0;1;0;1
2019-06-27T21:56:00+02:00;10924000000;242628952064;7231488;8224768;0;9;0;1;0;2;6.5;0;1;1;11.5;1;2;1;1
2019-06-27T21:58:00+02:00;9648000000;242626854912;8910336;9104896;0;5.5;0;0;0;0;4.5;0;0;0;0.5;0;0.5;0;1
2019-06-27T22:00:00+02:00;12208000000;242638913536;8253952;8037888;0;4;0;0.5;0;0;4;0;1;0;0;0;0;1.5;1
2019-06-27T22:02:00+02:00;17640500000;242639437824;7980032;7941120;0;25;2.5;2;0;3.5;9.5;0;2.5;7;5.5;8;5.5;1.5;1
2019-06-27T22:04:00+02:00;11550000000;242652545024;7554048;7268864;0;3.5;0;1;0;0;6;0;2;3;1;0;3;1;1
2019-06-27T22:06:00+02:00;12587500000;242652545024;8381440;8487936;0;3.5;2;0;0;0;5.5;0;0.5;1;1;0;1;0;1
2019-06-27T22:08:00+02:00;8883500000;242655690752;7183872;6615552;0;3;0;0;0;0;6;0;0;0.5;1;0;1;0;1
2019-06-27T22:10:00+02:00;12011500000;242635767808;6288384;6294528;0;6;0;0;1;0;5;0;0;0.5;1;0;1;0;1
2019-06-27T22:12:00+02:00;9941000000;242621087744;5859840;5969920;0;2;0;0;0;2;4.5;0;0;0.5;1;0.5;0.5;0;1
2019-06-27T22:14:00+02:00;12353500000;242617417728;6952960;6765568;0;2;0;0.5;0;2;4;0;0;1;1;0.5;1;0;1
2019-06-27T22:16:00+02:00;12123500000;242620039168;6867456;6650368;0;1.5;0;1.5;1;0;8;0;2.5;1;2.5;0.5;3;1.5;1
2019-06-27T22:18:00+02:00;12526500000;242624233472;7254528;7034368;0;0.5;0;1.5;0.5;1;5;0;1;0;2;6;1;1;1
2019-06-27T22:20:00+02:00;12104500000;242640486400;7259648;7045632;0;1.5;0;2;0.5;1;5.5;0;1.5;1.5;2.5;2;2.5;1.5;1
2019-06-27T22:22:00+02:00;9773500000;242622136320;7783936;7698944;0;0;0;0;0;0;5.5;0;1;0;2.5;3;1;0.5;1
2019-06-27T22:24:00+02:00;11555500000;242616893440;6933504;7296000;0;5;0;0;0;0;4.5;0;0;2;2;3;1;0;1
2019-06-27T22:26:00+02:00;10840000000;242623184896;7326720;6850560;0;4;0;0.5;0;0;5.5;0;0;0.5;1;0;1;0;1
2019-06-27T22:28:00+02:00;12828000000;242616369152;6991360;7074304;0;3.5;1;1;0;1;6.5;0;0;0;1;0;0;0;1
2019-06-27T22:30:00+02:00;11243000000;242611650560;7111168;7191040;0;0;0.5;1;0;2;7.5;0;2;14;3;0;2;3;1
2019-06-27T22:32:00+02:00;12202500000;242606931968;7488000;7132672;0;1;0.5;1.5;1.5;1.5;6;0;0;0;3;0;1;0;1
2019-06-27T22:34:00+02:00;10464000000;242604310528;7169024;7313920;0;2.5;0;0;0;0;6.5;0;0;0;1;0;0.5;0;1
2019-06-27T22:36:00+02:00;9806500000;242614796288;5836288;5522432;0;8;0;2;0;0;7;0;1;1;6.5;0;0.5;0.5;1
2019-06-27T22:38:00+02:00;10123500000;242612174848;6304768;6639616;0;3;0;0.5;0;0;4;0;0;0.5;1;0;0;0;1
2019-06-27T22:40:00+02:00;9009000000;242620039168;6227456;5776896;0;3.5;0;0;0;2;7;0;0.5;0.5;1;2.5;1.5;0.5;1
2019-06-27T22:42:00+02:00;9734500000;242602737664;5254656;5448704;0;3.5;0.5;0.5;0;0;7;0;1;1;1;0;0;1;1
2019-06-27T22:44:00+02:00;9010500000;242630524928;5695488;5777920;0;2.5;1;1.5;0;1;4.5;0;0;0;1;1;1;0;1
2019-06-27T22:46:00+02:00;10493000000;242631049216;6297600;5895168;0;4;1;1.5;0;10;1;0;2;5;13;2;4;1;1
2019-06-27T22:48:00+02:00;10005000000;242630000640;6259712;6578176;0;0;0;1;0;0;5.5;0;0;0;1;0;1;0;1
2019-06-27T22:50:00+02:00;9660000000;242646777856;5927424;5768192;0;5;0;0;0;2;7;0;0.5;0;2;0;1;0.5;1
2019-06-27T22:52:00+02:00;9694000000;242629476352;5088256;5465088;0;2;0;0.5;0;0;7.5;0;0.5;0;2;0;1;0;1
2019-06-27T22:54:00+02:00;12341500000;242635243520;5441024;5009408;0;1.5;0;2.5;1.5;2;5;0;0;0;0.5;0.5;1;0;1
2019-06-27T22:56:00+02:00;11188500000;242643107840;5007360;5037568;0;7;0;12.5;0;2;7;0;1;4;2;0;3;1;1
2019-06-27T22:58:00+02:00;10863500000;242646777856;5964800;5966848;0;2.5;0;0;0;0;5.5;0;0;0.5;2;0;2.5;0;1
2019-06-27T23:00:00+02:00;13586500000;242650447872;5872128;5690368;0;1.5;1;0;0;0;3;0;0;0;2;0;1;0.5;1
2019-06-27T23:02:00+02:00;14450500000;242638913536;5170176;5080064;0;5;1.5;0.5;0;0.5;30;0;1.5;5;3;0;4;0.5;1
2019-06-27T23:04:00+02:00;13078500000;242612699136;5300736;5176320;0;4;0;0;0;2;7;0;0;0;1.5;0;1;1;1
2019-06-27T23:06:00+02:00;11952500000;242599067648;5590016;5821440;0;0.5;3;3;0;1;7.5;0;1.5;1.5;2.5;0;1.5;2;1
2019-06-27T23:08:00+02:00;8860500000;242595397632;5864448;5641728;0;1;0;0.5;0;0;4.5;0;0;0;1.5;0;1.5;0;1
2019-06-27T23:10:00+02:00;13952000000;242596970496;5980160;5893632;0;1;4.5;1.5;0;0;4;0;0;2.5;1;0;0;0;1
2019-06-27T23:12:00+02:00;9419500000;242600640512;5549568;5356544;0;3.5;0;2;0;0.5;9;0;1.5;0.5;2.5;0;3;1;1
2019-06-27T23:14:00+02:00;11794000000;242607980544;3095552;2988544;0;3;0;1.5;0;0;6;0;0;0;1;0;1;0;1
2019-06-27T23:16:00+02:00;9939500000;242600116224;3476480;3522560;0;1.5;1.5;1;1;0;3;0;0;0;1;0;0.5;0;1
2019-06-27T23:18:00+02:00;9607000000;242606931968;4897280;25553920;0;0;0;1;0;0;5;0;0;0;1;0;0;0;1
2019-06-27T23:20:00+02:00;10491000000;242612174848;3923968;45114368;0;1.5;0;0;0;0;6;0;0;1.5;1.5;0;1.5;0;1
2019-06-27T23:22:00+02:00;10020000000;242617942016;6835200;37708288;0;1;0;0;0;0;16.5;0;1.5;12.5;3.5;0;1;2;1
2019-06-27T23:24:00+02:00;11738500000;242595921920;7216128;46393344;0;1;2;1;0;0;14;0;1;13;2;0;0.5;0;1
2019-06-27T23:26:00+02:00;10439000000;242596446208;6384128;48875520;0;5.5;1.5;0;0;0;8;0;0.5;0;1.5;0;3;0;1
2019-06-27T23:28:00+02:00;11064500000;242588057600;5755392;22627328;0;3.5;0.5;0;0;1;6;0;0.5;0;2;0;1;0;1
2019-06-27T23:30:00+02:00;9943000000;242609029120;19953664;19707392;4;3;0;1;0;0;6;3;0.5;2;1;0;2;0;1
2019-06-27T23:32:00+02:00;10926500000;242575998976;5015040;4722688;1;4.5;0;0.5;0;0;5;0;0;0;1;0;0;0;1
2019-06-27T23:34:00+02:00;9887500000;242570756096;4040192;3878400;0;0.5;0.5;0;0;0.5;5.5;0;0;0;1;0;0.5;0;1
2019-06-27T23:36:00+02:00;9493000000;242565513216;5869056;5539840;0;3;0;0;0;0;6.5;0;2;0;1.5;0;3.5;0;1
2019-06-27T23:38:00+02:00;10027000000;242580193280;4983808;5261312;0;0;0.5;1.5;0;0;4.5;0;0;0;1;0;1;0;1
2019-06-27T23:40:00+02:00;10150000000;242580717568;4358144;4161536;0;5;0;1;0;4;7;0;0.5;0;0.5;1;1.5;0;1
2019-06-27T23:42:00+02:00;11360500000;242582290432;4164608;4096000;0;6;0;1;1.5;0;7;0;0.5;0;1;1;1.5;0;1
2019-06-27T23:44:00+02:00;8908000000;242576523264;3315200;2727424;0;2;0;0;0;0;5.5;0;0.5;0;2;0;3;0.5;1
2019-06-27T23:46:00+02:00;11475500000;242579144704;4465152;4380672;0;3;2;0.5;0;0;17;0;2;5;3;4;3;1;1
2019-06-27T23:48:00+02:00;10213000000;242577047552;3665920;3767296;0;1.5;0;0.5;0;0;6;0;0;0.5;1;0;0.5;0;1
2019-06-27T23:50:00+02:00;9541000000;242583863296;5130752;4530688;0;1.5;0;0;0;0;6;0;0;0;0;0;0;2;1
2019-06-27T23:52:00+02:00;11713500000;242596446208;3625984;3871744;0;0.5;0;1;0;0;7;0;3.5;1.5;2;0;3.5;2.5;1
2019-06-27T23:54:00+02:00;10060000000;242594873344;4427776;4008960;0;4;0;3;0;0;3.5;0;0.5;0;5;0;0.5;0.5;1
2019-06-27T23:56:00+02:00;11228500000;242603261952;2803712;2731008;0;0.5;0;1.5;0;3;13.5;0;2.5;40.5;4.5;3;2;3;1
2019-06-27T23:58:00+02:00;10395500000;242598543360;3581952;3801088;0;3;0;0;0;0;6;0;1.5;0.5;2.5;3;3;1.5;1
